,Unnamed: 0,가게이름,카테고리,위치,평점,리뷰수,위도,경도
57,57,현대순대국,순대,서울 강남구 강남대로124길 20,3.1,72,37.5090108,127.0242031
58,58,더 바른 정육식당,육류 | 고기,서울 강남구 강남대로 482 1층,4.0,29,37.5053921,127.0245194
59,59,왕스덕,중국요리,서울 강남구 도산대로 130,3.6,25,37.5170587,127.022975
60,60,우기식당 육지점,한식,서울 강남구 학동로2길 39 LS빌딩 1층,4.1,11,37.508991,127.0234388
61,61,배정철 어도,일식집,서울 강남구 언주로148길 14,2.8,21,37.5202946,127.0359457
62,62,남도음식토말 본점,한정식,서울 강남구 선릉로121길 13,3.3,14,37.5136552,127.041196
63,63,돌곰네,해물 | 생선,서울 강남구 언주로146길 18 동현아파트 상가 지하1층,3.7,99,37.5193396,127.0363736
64,64,김태완스시,초밥 | 롤,서울 강남구 학동로2길 31 1층,2.3,70,37.5093935,127.0231903
65,65,탕탕집,설렁탕,서울 강남구 학동로4길 12,3.8,47,37.5106058,127.0230173
66,66,보물섬,회,서울 강남구 강남대로120길 40 1층,2.9,89,37.507594,127.0265685
67,67,천사곱창 논현점,곱창 | 막창,서울 강남구 학동로2길 56 원창빌딩 1층 104호,3.6,72,37.5079317,127.0236056
68,68,조개사냥,조개,서울 강남구 강남대로122길 24,3.0,36,37.508123,127.024934
69,69,강남어시장,해물 | 생선,서울 강남구 강남대로 512 5층,2.6,221,37.50798899999999,127.0233263
70,70,옛날농장 논현점,육류 | 고기,서울 강남구 학동로2길 57,4.7,95,37.5079205,127.0238769
71,71,이디야커피랩,커피전문점,서울 강남구 논현로 636 1 2층,4.0,469,37.5104381,127.032971
72,72,영동소금구이 논현본점,육류 | 고기,서울 강남구 강남대로124길 10,3.6,106,37.5088173,127.0234738
73,73,감나무집,사철탕 | 영양탕,서울 강남구 봉은사로5길 6,4.1,21,37.5055671,127.0264003
74,74,로얄라운지,이탈리안,서울 강남구 논현로 709 로얄빌딩,3.7,7,37.4848237,127.0429655
75,75,논현양꼬치,양꼬치,서울 강남구 학동로6길 37,4.1,47,37.50988,127.0256973
76,76,해목,일식,서울 강남구 선릉로145길 14 1 2층,4.1,442,37.5214472,127.0382828
77,77,게방식당,게 | 대게,서울 강남구 선릉로131길 17 1층,3.1,94,37.5172783,127.0394223
78,78,공리 강남구청역점,중국요리,서울 강남구 선릉로129길 24 은성빌딩 1층,3.4,122,37.5160229,127.0395051
79,79,김선생조개찜,조개,서울 강남구 강남대로114길 14,3.9,78,37.5057769,127.0254023
80,80,배꼽집,육류 | 고기,서울 강남구 강남대로128길 22,3.3,24,37.5100919,127.0240737
81,81,더수제비 논현점,수제비,서울 강남구 논현로132길 29,4.6,66,37.5155154,127.0327369
82,82,신촌황소곱창 논현직영점,곱창 | 막창,서울 강남구 강남대로128길 10 신도빌딩 1 2층,3.8,303,37.5097195,127.0230639
83,83,압구정변강쇠떡볶이,떡볶이,서울 강남구 도산대로46길 21 한진로즈힐아파트 101동 상가 117호,3.1,124,37.5206804,127.0371595
84,84,모스가든,갤러리카페,서울 강남구 논현로139길 12,3.5,110,37.516645,127.0283107
85,85,박고볼래 논현점,실내포장마차,서울 강남구 선릉로129길 3-6,2.6,32,37.51592369999999,127.0410414
86,86,마포숯불갈비,갈비,서울 강남구 논현로150길 20,4.3,20,37.5193154,127.0301437
87,87,슈퍼집 논현점,떡볶이,서울 강남구 언주로130길 14,3.5,22,37.5148766,127.0367099
88,88,단스시 논현본점,초밥 | 롤,서울 강남구 언주로 652 2층,2.9,55,37.5150951,127.0357716
89,89,한미옥,육류 | 고기,서울 강남구 봉은사로 319 내외빌딩 2층,3.9,243,37.5099318,127.0418816
90,90,아낙 본점,호프 | 요리주점,서울 강남구 학동로20길 30 1층 101호,4.3,45,37.5114721,127.0279818
